run_name,level,model,min_candidates,n_target_groups,total_candidates,total_positives,median_candidates,mean_auc,median_auc,mean_aupr,median_aupr,mean_brier,median_brier,mean_log_loss,median_log_loss,mean_first_hit_rank,median_first_hit_rank,mean_mrr,median_mrr,mean_ef1,median_ef1,mean_ef5,median_ef5,mean_ef10,median_ef10,mean_top1_hit,median_top1_hit,mean_top3_hit,median_top3_hit,mean_top5_hit,median_top5_hit,mean_top10_hit,median_top10_hit,mean_top50_hit,median_top50_hit,mean_top1_precision,median_top1_precision,mean_top3_precision,median_top3_precision,mean_top5_precision,median_top5_precision,mean_top10_precision,median_top10_precision,mean_top50_precision,median_top50_precision,delta_auc,delta_aupr,delta_brier,delta_log_loss,delta_first_hit_rank,delta_mrr,delta_ef1,delta_ef5,delta_ef10,delta_top1_hit,delta_top3_hit,delta_top5_hit,delta_top10_hit,delta_top50_hit,delta_top1_precision,delta_top3_precision,delta_top5_precision,delta_top10_precision,delta_top50_precision
lowprev_main,sample_mean,baseline,1000,4,12000,400,3000.0,0.5,0.5,0.0333333333333333,0.0333333333333333,0.0322222222222222,0.0322222222222222,0.1461447460085638,0.1461447460085638,29.712871287128717,29.712871287128717,0.0336554481839386,0.0336554481839386,1.0,1.0,1.0,1.0,1.0,1.0,0.0333333333333333,0.0333333333333333,0.0967348689278458,0.0967348689278458,0.1560169081701167,0.1560169081701167,0.2878978235386383,0.2878978235386383,0.8190107441472774,0.8190107441472774,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lowprev_main,sample_mean,global_knn25_ecfp,1000,4,12000,400,3000.0,0.624046551724138,0.6396456896551724,0.0673654923675461,0.07172869106165,0.032432733949936,0.0321836041750602,0.2869748798074371,0.280961888384543,5.75,6.0,0.3861111111111111,0.2222222222222222,3.75,3.5,2.85,3.3,2.5,2.6,0.25,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,0.0,0.1666666666666666,0.1666666666666666,0.1,0.1,0.125,0.1,0.13,0.14,0.124046551724138,0.0340321590342128,0.0002105117277138,0.1408301337988732,-23.962871287128717,0.3524556629271724,2.75,1.85,1.5,0.2166666666666666,0.4032651310721541,0.3439830918298833,0.7121021764613616,0.1809892558527226,0.2166666666666666,0.1333333333333333,0.0666666666666666,0.0916666666666666,0.0966666666666666
lowprev_main,sample_mean,global_pos_nn_ecfp,1000,4,12000,400,3000.0,0.5464525862068965,0.5554810344827587,0.0600111869135045,0.0598202967904782,0.0981027016561222,0.0980428977307634,0.3691542649039012,0.3713899687342856,1.25,1.25,0.8333333333333333,0.8333333333333333,4.0,4.0,1.5875,1.375,1.32,1.15,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.4166666666666666,0.3333333333333333,0.4,0.4,0.3083333333333333,0.3166666666666666,0.095,0.1,0.0464525862068965,0.0266778535801712,0.0658804794339,0.2230095188953374,-28.462871287128717,0.7996778851493945,3.0,0.5874999999999999,0.32,0.7166666666666667,0.903265131072154,0.8439830918298833,0.7121021764613616,0.1809892558527226,0.7166666666666667,0.3833333333333333,0.3666666666666667,0.2749999999999999,0.0616666666666666
lowprev_main,sample_mean,logistic_ecfp,1000,4,12000,400,3000.0,0.6414633620689656,0.6557465517241379,0.074157293057236,0.079063065822296,0.0698908107121672,0.0700367483759543,0.2832090227684144,0.2783265684552953,6.75,3.0,0.45,0.375,4.25,4.0,2.95,3.2,2.25,2.35,0.25,0.0,0.5,0.5,0.75,1.0,0.75,1.0,1.0,1.0,0.25,0.0,0.1666666666666666,0.1666666666666666,0.2,0.2,0.175,0.15,0.145,0.16,0.1414633620689656,0.0408239597239027,0.037668588489945,0.1370642767598506,-22.962871287128717,0.4163445518160613,3.25,1.95,1.25,0.2166666666666666,0.4032651310721541,0.5939830918298833,0.4621021764613616,0.1809892558527226,0.2166666666666666,0.1333333333333333,0.1666666666666666,0.1416666666666667,0.1116666666666666
lowprev_main,sample_mean,rf_ecfp,1000,4,12000,400,3000.0,0.684764224137931,0.7219948275862069,0.1182561061508062,0.1294657911091564,0.0371042626410249,0.0356849142503572,0.1672554721683804,0.1619072276966039,1.5,1.0,0.8333333333333333,1.0,8.75,9.0,4.15,4.699999999999999,2.85,3.1500000000000004,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.4166666666666666,0.3333333333333333,0.3,0.3,0.25,0.25,0.265,0.28,0.184764224137931,0.0849227728174729,0.0048820404188026,0.0211107261598166,-28.212871287128717,0.7996778851493945,7.75,3.1500000000000004,1.85,0.7166666666666667,0.903265131072154,0.8439830918298833,0.7121021764613616,0.1809892558527226,0.7166666666666667,0.3833333333333333,0.2666666666666666,0.2166666666666666,0.2316666666666667
ten_percent_robustness,sample_mean,baseline,1000,4,12000,1200,3000.0,0.5,0.5,0.1,0.1,0.09,0.09,0.3250829733914482,0.3250829733914482,9.970099667774086,9.970099667774086,0.1002999000333222,0.1002999000333222,1.0,1.0,1.0,1.0,1.0,1.0,0.0999999999999999,0.0999999999999999,0.2710810430250154,0.2710810430250154,0.4097288905407082,0.4097288905407082,0.6519035027004694,0.6519035027004694,0.995077456636258,0.995077456636258,0.1,0.1,0.0999999999999999,0.0999999999999999,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ten_percent_robustness,sample_mean,global_knn25_ecfp,1000,4,12000,1200,3000.0,0.6781927469135802,0.7138833333333333,0.2394340852804357,0.272108472975486,0.0860509260704025,0.0833927811090596,0.459552248655228,0.4157840332122358,3.0,1.0,0.7777777777777778,1.0,4.916666666666666,5.333333333333332,3.283333333333333,3.7,2.75,3.0666666666666664,0.75,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5833333333333333,0.6666666666666666,0.55,0.7,0.4999999999999999,0.6,0.435,0.51,0.1781927469135802,0.1394340852804357,-0.0039490739295974,0.1344692752637798,-6.970099667774086,0.6774778777444556,3.916666666666666,2.283333333333333,1.75,0.65,0.4789189569749845,0.3402711094592917,0.3480964972995306,0.0049225433637419,0.65,0.4833333333333333,0.45,0.3999999999999999,0.3349999999999999
ten_percent_robustness,sample_mean,global_pos_nn_ecfp,1000,4,12000,1200,3000.0,0.5592016975308642,0.5613098765432099,0.1387755684691703,0.1367019100711927,0.1416054981570998,0.141793493522478,0.4758372700516557,0.4731190690344456,1.8208333333333333,1.875,0.5833333333333333,0.5357142857142857,2.833333333333333,2.833333333333333,1.7833333333333332,1.8333333333333333,1.69375,1.7291666666666663,0.4916666666666667,0.4166666666666667,0.9375,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.4916666666666666,0.4166666666666666,0.4916666666666666,0.4166666666666666,0.5583333333333333,0.55,0.4,0.4,0.235,0.23,0.0592016975308642,0.0387755684691703,0.0516054981570998,0.1507542966602075,-8.149266334440753,0.483033433300011,1.833333333333333,0.7833333333333332,0.6937500000000001,0.3916666666666667,0.6664189569749845,0.5902711094592917,0.3480964972995306,0.0049225433637419,0.3916666666666666,0.3916666666666666,0.4583333333333333,0.3,0.135
ten_percent_robustness,sample_mean,logistic_ecfp,1000,4,12000,1200,3000.0,0.6529371913580246,0.684938888888889,0.2279992433402207,0.2572197040676491,0.1493133695482319,0.1470466789840382,0.5522018039668086,0.5214496562039188,2.25,2.0,0.5625,0.5,5.333333333333333,6.166666666666666,3.25,3.7666666666666666,2.5416666666666665,2.783333333333333,0.25,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.5,0.5,0.55,0.5,0.5750000000000001,0.6,0.455,0.54,0.1529371913580246,0.1279992433402207,0.0593133695482319,0.2271188305753604,-7.720099667774086,0.4622000999666777,4.333333333333333,2.25,1.5416666666666663,0.15,0.4789189569749845,0.5902711094592917,0.3480964972995306,0.0049225433637419,0.15,0.4,0.45,0.4750000000000001,0.355
ten_percent_robustness,sample_mean,rf_ecfp,1000,4,12000,1200,3000.0,0.7206887345679013,0.7744808641975307,0.2924811538393242,0.3194177723884828,0.0909835606809938,0.0856717502391618,0.3246124903014958,0.3092304834097822,3.5,1.0,0.7727272727272727,1.0,5.166666666666666,5.333333333333333,3.966666666666666,4.333333333333333,3.266666666666666,3.6666666666666665,0.75,1.0,0.75,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.5833333333333333,0.6666666666666666,0.5,0.5,0.475,0.4499999999999999,0.5,0.51,0.2206887345679012,0.1924811538393242,0.0009835606809938,-0.0004704830899524,-6.470099667774086,0.6724273726939505,4.166666666666666,2.966666666666666,2.266666666666666,0.65,0.4789189569749845,0.3402711094592917,0.0980964972995306,0.0049225433637419,0.65,0.4833333333333333,0.4,0.375,0.4
