dataset,threshold,model,n_pools,pct_first_hit_rank_le_1,pct_first_hit_rank_le_3,pct_first_hit_rank_le_5,mean_first_hit_rank,mean_mrr,mean_ef5,mean_aupr
robin_molperturbation,20,global_knn25,27,0.9629629629629628,1.0,1.0,1.037037037037037,0.9814814814814816,1.9767569449243865,0.9452038507970056
robin_molperturbation,20,global_pos_nn,27,1.0,1.0,1.0,1.0,1.0,2.039863330735175,0.9985149238446408
robin_molperturbation,20,rnasmol,27,1.0,1.0,1.0,1.0,1.0,2.039863330735175,0.9684745938277688
robin_molperturbation,20,xgboost_ecfp,27,1.0,1.0,1.0,1.0,1.0,2.039863330735175,0.9768596379428496
robin_molperturbation,50,global_knn25,13,0.9230769230769232,1.0,1.0,1.0769230769230769,0.9615384615384616,1.831814844951512,0.9319468430183492
robin_molperturbation,50,global_pos_nn,13,1.0,1.0,1.0,1.0,1.0,1.9628819539431488,0.9994131135594488
robin_molperturbation,50,rnasmol,13,1.0,1.0,1.0,1.0,1.0,1.9628819539431488,0.9838504852339992
robin_molperturbation,50,xgboost_ecfp,13,1.0,1.0,1.0,1.0,1.0,1.9628819539431488,0.9788003261750275
robin_netperturbation,20,global_knn25,27,0.7407407407407407,0.9629629629629628,0.9629629629629628,1.851851851851852,0.8298059964726633,1.3789148013375612,0.5852947247807372
robin_netperturbation,20,global_pos_nn,27,0.0,0.7777777777777778,1.0,2.273135646667284,0.4828637509393811,0.9964124779464888,0.4728448959568248
robin_netperturbation,20,rnasmol,27,0.8518518518518519,1.0,1.0,1.148148148148148,0.925925925925926,1.832913344509439,0.6686664193684831
robin_netperturbation,20,xgboost_ecfp,27,0.7037037037037037,0.8518518518518519,0.9629629629629628,1.8148148148148149,0.8064814814814815,1.342635204207828,0.5906105405867881
robin_netperturbation,50,global_knn25,17,0.8235294117647058,1.0,1.0,1.2941176470588236,0.892156862745098,1.2431968458373284,0.6379241861210376
robin_netperturbation,50,global_pos_nn,17,0.0,1.0,1.0,1.866368177973008,0.5562693319194446,0.9945546961087132,0.5488854365166276
robin_netperturbation,50,rnasmol,17,0.8235294117647058,1.0,1.0,1.1764705882352942,0.9117647058823528,1.4940895324758996,0.6986191598342701
robin_netperturbation,50,xgboost_ecfp,17,0.8235294117647058,1.0,1.0,1.1764705882352942,0.9117647058823528,1.3668427551918454,0.6589116747052199
