dataset,threshold,focal_model,baseline_model,metric,n_pools,mean_focal,mean_baseline,mean_improvement_delta,median_improvement_delta,pct_pools_improved,pct_pools_tied,pct_pools_worse,mean_positive_rate,median_candidates,ci95_low,ci95_high
robin_molperturbation,50,rnasmol,rf_ecfp,mrr,13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5162730547265574,72.0,0.0,0.0
robin_molperturbation,50,rnasmol,xgboost_ecfp,aupr,13,0.9838504852339992,0.9788003261750275,0.0050501590589713,0.0079525454032818,0.7692307692307693,0.0,0.2307692307692307,0.5162730547265574,72.0,-0.0021090278988247,0.0110742294910871
robin_molperturbation,50,rnasmol,xgboost_ecfp,ef5,13,1.9628819539431488,1.9628819539431488,0.0,0.0,0.0,1.0,0.0,0.5162730547265574,72.0,0.0,0.0
robin_molperturbation,50,rnasmol,xgboost_ecfp,first_hit_rank,13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5162730547265574,72.0,0.0,0.0
robin_molperturbation,50,rnasmol,xgboost_ecfp,mrr,13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5162730547265574,72.0,0.0,0.0
robin_netperturbation,20,rnasmol,global_knn25,aupr,27,0.6686664193684831,0.5852947247807372,0.083371694587746,0.0814052911052819,0.8518518518518519,0.0,0.1481481481481481,0.474330076667098,53.0,0.0483521844634418,0.1206425245734359
robin_netperturbation,20,rnasmol,global_knn25,ef5,27,1.832913344509439,1.3789148013375612,0.4539985431718777,0.4444444444444444,0.5185185185185185,0.2962962962962963,0.1851851851851851,0.474330076667098,53.0,0.1715271081920028,0.7745420271135398
robin_netperturbation,20,rnasmol,global_knn25,first_hit_rank,27,1.148148148148148,1.851851851851852,0.7037037037037037,0.0,0.2222222222222222,0.7037037037037037,0.074074074074074,0.474330076667098,53.0,0.037037037037037,1.8148148148148149
robin_netperturbation,20,rnasmol,global_knn25,mrr,27,0.925925925925926,0.8298059964726633,0.0961199294532628,0.0,0.2222222222222222,0.7037037037037037,0.074074074074074,0.474330076667098,53.0,-0.0185185185185185,0.2204585537918871
robin_netperturbation,20,rnasmol,global_pos_nn,aupr,27,0.6686664193684831,0.4728448959568248,0.1958215234116586,0.1765835529995842,1.0,0.0,0.0,0.474330076667098,53.0,0.1522365375096992,0.2420552242706881
robin_netperturbation,20,rnasmol,global_pos_nn,ef5,27,1.832913344509439,0.9964124779464888,0.8365008665629505,0.9437321937321936,0.7777777777777778,0.0,0.2222222222222222,0.474330076667098,53.0,0.5128513097758352,1.15622139120223
robin_netperturbation,20,rnasmol,global_pos_nn,first_hit_rank,27,1.148148148148148,2.273135646667284,1.1249874985191353,0.9333333333333332,0.8888888888888888,0.0,0.1111111111111111,0.474330076667098,53.0,0.811852849033257,1.4528247858460055
robin_netperturbation,20,rnasmol,global_pos_nn,mrr,27,0.925925925925926,0.4828637509393811,0.4430621749865447,0.4776119402985075,0.8888888888888888,0.0,0.1111111111111111,0.474330076667098,53.0,0.3507719745588133,0.529676071103094
robin_netperturbation,20,rnasmol,rf_ecfp,aupr,27,0.6686664193684831,0.5350251914295768,0.1336412279389065,0.1206419157538718,0.925925925925926,0.0,0.074074074074074,0.474330076667098,53.0,0.1014068401866833,0.1673743190578336
robin_netperturbation,20,rnasmol,rf_ecfp,ef5,27,1.832913344509439,0.8574489099942306,0.9754644345152086,0.9393939393939394,0.7037037037037037,0.1851851851851851,0.1111111111111111,0.474330076667098,53.0,0.6086051299774774,1.3663841849310083
robin_netperturbation,20,rnasmol,rf_ecfp,first_hit_rank,27,1.148148148148148,2.6666666666666665,1.5185185185185186,1.0,0.7037037037037037,0.2592592592592592,0.037037037037037,0.474330076667098,53.0,0.8888888888888888,2.2222222222222223
robin_netperturbation,20,rnasmol,rf_ecfp,mrr,27,0.925925925925926,0.5281893004115226,0.3977366255144033,0.5,0.7037037037037037,0.2592592592592592,0.037037037037037,0.474330076667098,53.0,0.2582304526748971,0.5242798353909466
