dataset,seed,epochs,best_epoch_by_val_aupr,best_val_aupr,final_best_test_auc,final_best_test_aupr,n_train,n_val,n_test,runtime_seconds,run_dir
robin_netperturbation,20260620,120,11,0.5442295939926972,0.5229949483229503,0.5344941202280618,4488,1497,1497,49.45204859995283,rnasmol_ligand_only_training_probe_120e
robin_netperturbation,20260621,120,51,0.5426580826158888,0.5171998000749719,0.5326705639735948,4488,1497,1497,59.579511400079355,rnasmol_ligand_only_training_probe_120e_seed20260621
robin_netperturbation,20260622,120,22,0.5688799668140365,0.5474696988629264,0.5607317948599715,4488,1497,1497,59.60815969994292,rnasmol_ligand_only_training_probe_120e_seed20260622
robin_molperturbation,20260620,120,119,0.9553829115272313,0.9645953900116321,0.9625499179979902,4477,1494,1492,54.22562469996046,rnasmol_ligand_only_training_probe_mol_120e_seed20260620
robin_molperturbation,20260621,120,119,0.9669993885706504,0.9709920589974955,0.9710260477577928,4477,1494,1492,60.26662710006349,rnasmol_ligand_only_training_probe_mol_120e_seed20260621
robin_molperturbation,20260622,120,119,0.9630132231177098,0.9681460986252015,0.9678931888085348,4477,1494,1492,60.24652519996744,rnasmol_ligand_only_training_probe_mol_120e_seed20260622
