level,model,min_candidates,n_target_groups,total_candidates,total_positives,median_candidates,mean_auc,median_auc,mean_aupr,median_aupr,mean_brier,median_brier,mean_log_loss,median_log_loss,mean_first_hit_rank,median_first_hit_rank,mean_mrr,median_mrr,mean_ef1,median_ef1,mean_ef5,median_ef5,mean_ef10,median_ef10,mean_top1_hit,median_top1_hit,mean_top3_hit,median_top3_hit,mean_top5_hit,median_top5_hit,mean_top10_hit,median_top10_hit,mean_top1_precision,median_top1_precision,mean_top3_precision,median_top3_precision,mean_top5_precision,median_top5_precision,mean_top10_precision,median_top10_precision,dataset,seed,run_dir
sample_mean,rnasmol,20,27,1497,742,53.0,0.6512370222086,0.6447368421052632,0.6686664193684833,0.6937556230821106,0.3425202940611406,0.3542301069133477,1.027438645573604,1.0651024820992854,1.148148148148148,1.0,0.925925925925926,1.0,2.024163125446633,1.962962962962963,1.8329133445094388,1.923076923076923,1.7376616518115608,1.6890756302521006,0.8518518518518519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8518518518518519,1.0,0.7777777777777777,1.0,0.7703703703703704,0.8,0.6888888888888888,0.7,robin_netperturbation,20260620,rnasmol_ligand_only_training_probe_120e
sample_mean,rnasmol_ligand_only_probe,20,27,1497,742,53.0,0.5119037231957987,0.4935064935064934,0.530401798459424,0.5193479692300331,0.2497476783919554,0.2501294980845194,0.6926425181773324,0.6934061888395827,2.5185185185185186,1.0,0.7420194003527337,1.0,1.2127042283495677,1.5833333333333337,0.9634858058568356,1.0555555555555556,1.0418167882627176,1.0555555555555556,0.6296296296296297,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,0.9629629629629628,1.0,0.6296296296296297,1.0,0.5185185185185185,0.6666666666666666,0.5111111111111111,0.6,0.5185185185185185,0.5,robin_netperturbation,20260620,rnasmol_ligand_only_training_probe_120e
sample_mean,rnasmol,50,17,1051,589,60.0,0.6376609863621028,0.6296296296296297,0.6986191598342701,0.6955757202543369,0.3797661935378518,0.3992141274698049,1.07797911962644,1.103698034747198,1.1764705882352942,1.0,0.9117647058823528,1.0,1.590669447971118,1.7777777777777777,1.4940895324758996,1.619047619047619,1.4642014848792049,1.3194444444444446,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8235294117647058,1.0,0.784313725490196,1.0,0.788235294117647,0.8,0.7294117647058824,0.7,robin_netperturbation,20260620,rnasmol_ligand_only_training_probe_120e
sample_mean,rnasmol_ligand_only_probe,50,17,1051,589,60.0,0.5342709114413061,0.543040293040293,0.6142890296376422,0.6059342949074478,0.2505948983572459,0.2507193229765696,0.6943370261375706,0.6945858860156338,1.411764705882353,1.0,0.8647058823529411,1.0,1.3003666363606272,1.6046511627906976,1.1566090673252845,1.2034883720930232,1.1087939080253686,1.0555555555555556,0.7647058823529411,1.0,0.9411764705882352,1.0,1.0,1.0,1.0,1.0,0.7647058823529411,1.0,0.6666666666666666,0.6666666666666666,0.6235294117647059,0.6,0.6176470588235294,0.7,robin_netperturbation,20260620,rnasmol_ligand_only_training_probe_120e
sample_mean,rnasmol,20,27,1497,742,53.0,0.6512370222086,0.6447368421052632,0.6686664193684833,0.6937556230821106,0.3425202940611406,0.3542301069133477,1.027438645573604,1.0651024820992854,1.148148148148148,1.0,0.925925925925926,1.0,2.024163125446633,1.962962962962963,1.8329133445094388,1.923076923076923,1.7376616518115608,1.6890756302521006,0.8518518518518519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8518518518518519,1.0,0.7777777777777777,1.0,0.7703703703703704,0.8,0.6888888888888888,0.7,robin_netperturbation,20260621,rnasmol_ligand_only_training_probe_120e_seed20260621
sample_mean,rnasmol_ligand_only_probe,20,27,1497,742,53.0,0.5016088594482995,0.50682261208577,0.5254558968893487,0.5323258495832879,0.2497287041896464,0.2501388093635538,0.692604564764413,0.6934248138769489,2.592592592592593,1.0,0.6819444444444444,1.0,1.0182615129918196,1.392156862745098,1.0284998224524866,1.0441176470588234,1.0880151518136467,1.0555555555555556,0.5185185185185185,1.0,0.8888888888888888,1.0,0.925925925925926,1.0,0.9629629629629628,1.0,0.5185185185185185,1.0,0.5432098765432097,0.6666666666666666,0.5333333333333333,0.4,0.4925925925925926,0.5,robin_netperturbation,20260621,rnasmol_ligand_only_training_probe_120e_seed20260621
sample_mean,rnasmol,50,17,1051,589,60.0,0.6376609863621028,0.6296296296296297,0.6986191598342701,0.6955757202543369,0.3797661935378518,0.3992141274698049,1.07797911962644,1.103698034747198,1.1764705882352942,1.0,0.9117647058823528,1.0,1.590669447971118,1.7777777777777777,1.4940895324758996,1.619047619047619,1.4642014848792049,1.3194444444444446,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8235294117647058,1.0,0.784313725490196,1.0,0.788235294117647,0.8,0.7294117647058824,0.7,robin_netperturbation,20260621,rnasmol_ligand_only_training_probe_120e_seed20260621
sample_mean,rnasmol_ligand_only_probe,50,17,1051,589,60.0,0.5388475477934586,0.5398907103825136,0.6181901967813327,0.649920041563673,0.2506482268188684,0.250783263863784,0.6944436969993525,0.6947137846932271,1.588235294117647,1.0,0.7892156862745098,1.0,1.1432732107550911,1.5833333333333337,1.1342670850340095,1.0441176470588234,1.1425193380336658,1.0555555555555556,0.6470588235294118,1.0,0.9411764705882352,1.0,1.0,1.0,1.0,1.0,0.6470588235294118,1.0,0.6470588235294118,0.6666666666666666,0.6352941176470589,0.6,0.623529411764706,0.6,robin_netperturbation,20260621,rnasmol_ligand_only_training_probe_120e_seed20260621
sample_mean,rnasmol,20,27,1497,742,53.0,0.6512370222086,0.6447368421052632,0.6686664193684833,0.6937556230821106,0.3425202940611406,0.3542301069133477,1.027438645573604,1.0651024820992854,1.148148148148148,1.0,0.925925925925926,1.0,2.024163125446633,1.962962962962963,1.8329133445094388,1.923076923076923,1.7376616518115608,1.6890756302521006,0.8518518518518519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8518518518518519,1.0,0.7777777777777777,1.0,0.7703703703703704,0.8,0.6888888888888888,0.7,robin_netperturbation,20260622,rnasmol_ligand_only_training_probe_120e_seed20260622
sample_mean,rnasmol_ligand_only_probe,20,27,1497,742,53.0,0.531531668278991,0.5385304659498208,0.5562279975790912,0.6078540551265944,0.2498624105493878,0.2500569316692799,0.6928719987929471,0.6932610451693656,1.962962962962963,1.0,0.8344356261022928,1.0,1.517942303640336,1.6666666666666667,1.2954400783687114,1.3223684210526316,1.2455368613773654,1.388888888888889,0.7407407407407407,1.0,0.925925925925926,1.0,0.925925925925926,1.0,0.9629629629629628,1.0,0.7407407407407407,1.0,0.6666666666666666,0.6666666666666666,0.5851851851851851,0.6,0.5629629629629629,0.6,robin_netperturbation,20260622,rnasmol_ligand_only_training_probe_120e_seed20260622
sample_mean,rnasmol,50,17,1051,589,60.0,0.6376609863621028,0.6296296296296297,0.6986191598342701,0.6955757202543369,0.3797661935378518,0.3992141274698049,1.07797911962644,1.103698034747198,1.1764705882352942,1.0,0.9117647058823528,1.0,1.590669447971118,1.7777777777777777,1.4940895324758996,1.619047619047619,1.4642014848792049,1.3194444444444446,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8235294117647058,1.0,0.784313725490196,1.0,0.788235294117647,0.8,0.7294117647058824,0.7,robin_netperturbation,20260622,rnasmol_ligand_only_training_probe_120e_seed20260622
sample_mean,rnasmol_ligand_only_probe,50,17,1051,589,60.0,0.5576742532006639,0.5516129032258065,0.640497143720444,0.6444370505062297,0.2502976456579234,0.2503596188375647,0.6937424782325847,0.6938664259104882,1.1764705882352942,1.0,0.9313725490196078,1.0,1.6123052748845028,1.6666666666666667,1.2645788125428643,1.3223684210526316,1.31140769281227,1.3754152823920265,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,1.0,0.7450980392156863,0.6666666666666666,0.6823529411764706,0.6,0.6764705882352942,0.7,robin_netperturbation,20260622,rnasmol_ligand_only_training_probe_120e_seed20260622
