model,n_seeds,n_target_groups_min,n_target_groups_max,mean_auc_mean,mean_auc_sd,mean_auc_min,mean_auc_max,mean_aupr_mean,mean_aupr_sd,mean_aupr_min,mean_aupr_max,mean_ef1_mean,mean_ef1_sd,mean_ef1_min,mean_ef1_max,mean_ef5_mean,mean_ef5_sd,mean_ef5_min,mean_ef5_max,mean_ef10_mean,mean_ef10_sd,mean_ef10_min,mean_ef10_max,mean_top10_precision_mean,mean_top10_precision_sd,mean_top10_precision_min,mean_top10_precision_max,mean_top50_precision_mean,mean_top50_precision_sd,mean_top50_precision_min,mean_top50_precision_max
baseline,5,4,4,0.5,0.0,0.5,0.5,0.03330196171988586,0.00012505924668361105,0.03315709458700258,0.033461720119382615,1.0,5.551115123125783e-17,0.9999999999999999,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03330196171988586,0.00012505924668360883,0.03315709458700258,0.03346172011938261,0.03330196171988586,0.00012505924668360883,0.03315709458700258,0.03346172011938261
global_knn25_ecfp,5,4,4,0.6241683317458484,0.009204594239103503,0.6153098870510912,0.6372651937188574,0.08584302878831401,0.007544277602716924,0.08013449209373535,0.09865915242234204,5.459222019514877,0.888425415881363,4.729833333333334,6.999454545454546,3.3069599131662697,0.22860254816163675,3.047822727272727,3.516652621452622,2.5498636948121423,0.11967327673400373,2.4260052143508664,2.706271318536536,0.255,0.037080992435478306,0.2,0.3,0.15100000000000002,0.010839741694339398,0.135,0.165
global_pos_nn_ecfp,5,4,4,0.5390334621202058,0.01687278456299104,0.5119613982304173,0.5545077027891582,0.04774750074744596,0.007072016187540241,0.041716535016233805,0.05973887000120884,2.276180638012781,0.727975774632227,1.2588809523809523,2.862041666666667,1.6793801680365728,0.3565378704998887,1.0983424242424242,1.9895187727616301,1.4384721132384506,0.09716823998244296,1.2787195010303705,1.5279869409403573,0.095,0.07582875444051551,0.0,0.2,0.06933333333333333,0.015211472278806183,0.055,0.08666666666666668
logistic_ecfp,5,4,4,0.6365292685114149,0.012704546679165185,0.6195416459539312,0.650846948620165,0.07988227606070272,0.00892532110518883,0.06829759099806373,0.09255353109229776,5.006417020545593,0.9744413600823051,3.5362738095238098,6.03345523259809,2.965536165024209,0.21254592809232867,2.6987560606060605,3.2937636465324385,2.4487253558140276,0.20898523810763028,2.223476602279708,2.772256431767338,0.195,0.07158910531638177,0.1,0.275,0.14700000000000002,0.016807736313971613,0.125,0.165
rf_ecfp,5,4,4,0.680055896240493,0.011974334731004177,0.6608706143950306,0.6906048159012341,0.10634530419631523,0.010776415006052378,0.09132341417821672,0.12021039060780252,6.256913471449185,0.9362204158712097,5.031352040816326,7.538730467944753,4.177740864624882,0.3752268679121522,3.778636054421769,4.621164048649763,3.135223563683897,0.17839419947206409,2.8507854173776535,3.3214225950782996,0.23500000000000001,0.045414755311462385,0.175,0.275,0.192,0.018907670401189052,0.16499999999999998,0.21000000000000002
