dataset,threshold,target_display,target_name,target_id,sequence_length,n_candidates,n_positive,n_negative,positive_rate,eligible_ge20,eligible_ge50,mean_nearest_train_tanimoto,nearest_train_label_agreement,novel_scaffold_fraction,unique_scaffolds,rnasmol_aupr,rnasmol_ef5,rnasmol_first_hit_rank,delta_aupr_vs_global_knn25,delta_aupr_vs_global_pos_nn,delta_aupr_vs_xgboost_ecfp,delta_ef5_vs_global_knn25,delta_ef5_vs_global_pos_nn,delta_ef5_vs_xgboost_ecfp,delta_first_hit_rank_vs_global_knn25,delta_first_hit_rank_vs_global_pos_nn,delta_first_hit_rank_vs_xgboost_ecfp,target_descriptor_status,family_metadata_status,candidate_pool_id
robin_molperturbation,20,KLF6_wt,KLF6_wt,rna_7143fb00ad1323b7,20,31,14,17,0.4516129032258064,True,False,0.7722209244512206,0.967741935483871,0.3870967741935484,31,0.9760531135531134,2.2142857142857144,1.0,-0.0239468864468865,-0.0239468864468865,-0.0239468864468863,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_7143fb00ad1323b7
robin_molperturbation,20,MALAT1,MALAT1,rna_a41b980a3153c45d,59,58,28,30,0.4827586206896552,True,True,0.7847086453440064,0.8448275862068966,0.396551724137931,55,1.0,2.071428571428571,1.0,0.1159887743007394,0.0,0.0202444923257731,0.6904761904761905,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_a41b980a3153c45d
robin_molperturbation,20,NRAS,NRAS,rna_7a8bacf3c544e2c9,21,49,20,29,0.4081632653061224,True,False,0.7361524622646837,0.9591836734693876,0.4489795918367347,46,0.9643081020286902,2.45,1.0,-0.0231918979713098,-0.0356918979713097,-0.0356918979713097,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_7a8bacf3c544e2c9
robin_molperturbation,20,PreQ1,PreQ1,rna_bc1e28bfbeb66718,34,82,40,42,0.4878048780487805,True,True,0.7577948072382362,0.8414634146341463,0.3536585365853658,79,0.985708768496866,2.0500000000000003,1.0,0.0313648646353583,-0.014291231503134,0.0013472028331025,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_bc1e28bfbeb66718
robin_molperturbation,20,Pre_miR_17,Pre_miR_17,rna_de0ce5d99a384c4c,59,38,18,20,0.4736842105263157,True,False,0.7679077387250564,0.9210526315789472,0.3947368421052631,38,0.9239837480886076,2.111111111111111,1.0,0.0005601158263024,-0.0760162519113923,-0.0137309952527343,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_de0ce5d99a384c4c
robin_molperturbation,20,Pre_miR_21,Pre_miR_21,rna_8c9e413988882c4b,29,30,17,13,0.5666666666666667,True,False,0.8053357799149797,0.8,0.3333333333333333,30,0.9677078726227332,1.7647058823529411,1.0,0.0128922848737087,-0.0322921273772668,0.0490897500686243,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_8c9e413988882c4b
robin_molperturbation,20,Pre_miR_31,Pre_miR_31,rna_84abe72f1092063a,59,38,21,17,0.5526315789473685,True,False,0.7978542798288144,0.9210526315789472,0.2894736842105263,38,0.9917800453514742,1.809523809523809,1.0,0.0065459623509158,-0.0082199546485257,-0.0082199546485259,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_84abe72f1092063a
robin_molperturbation,20,Pro_mut,Pro_mut,rna_6f6146c8a48b843d,34,28,17,11,0.6071428571428571,True,False,0.8336332266160732,0.9285714285714286,0.2857142857142857,26,1.0,1.647058823529412,1.0,0.0088235294117647,0.0,0.0032679738562092,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_6f6146c8a48b843d
robin_molperturbation,20,Pro_wt,Pro_wt,rna_2f0b8931af462753,34,26,14,12,0.5384615384615384,True,False,0.7920420111586229,0.8461538461538461,0.4230769230769231,26,0.9460051852908996,1.8571428571428568,1.0,-0.0261904761904762,-0.0539948147091003,-0.0441308691308691,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_2f0b8931af462753
robin_molperturbation,20,RRE2B,RRE2B,rna_f7cefbee79dea70d,31,66,35,31,0.5303030303030303,True,True,0.788145174401685,0.8939393939393939,0.3787878787878788,65,0.9855371417180094,1.885714285714286,1.0,0.0269791574834634,-0.0144628582819905,0.0040889315902558,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_f7cefbee79dea70d
robin_molperturbation,20,RRE2B_MeA,RRE2B_MeA,rna_d871af35cfa0984d,29,91,53,38,0.5824175824175825,True,True,0.8087020967055636,0.7692307692307693,0.2857142857142857,89,0.9929213988640806,1.7169811320754715,1.0,0.1009876446309471,-0.0063731965501303,0.0079525454032818,0.3433962264150942,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_d871af35cfa0984d
robin_molperturbation,20,SAM_ll,SAM_ll,rna_73ecb919850b75e8,52,71,38,33,0.5352112676056338,True,True,0.7801330173981369,0.8873239436619719,0.380281690140845,71,0.9782517016985676,1.8684210526315792,1.0,0.0202117016358823,-0.0217482983014324,-0.009467094651645,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_73ecb919850b75e8
robin_molperturbation,20,TERRA,TERRA,rna_1fab30497d02c6fe,10,47,23,24,0.4893617021276595,True,False,0.790520764831493,0.9787234042553192,0.4042553191489361,47,0.9999999999999998,2.0434782608695654,1.0,0.0288271489004805,-2.220446049250313e-16,0.0056782379561205,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_1fab30497d02c6fe
robin_molperturbation,20,TPP,TPP,rna_180b1a8aa104ac5a,84,67,25,42,0.373134328358209,True,True,0.7079220691588056,0.9402985074626866,0.5223880597014925,66,0.9907084886128366,2.68,1.0,0.190393691026522,-0.0092915113871634,0.0059719806763285,0.6700000000000004,0.0,0.0,1.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_180b1a8aa104ac5a
robin_molperturbation,20,ZTP,ZTP,rna_8e92faf24e315f37,79,70,34,36,0.4857142857142857,True,True,0.805113306932857,0.8,0.3142857142857143,68,0.957918274360717,2.058823529411765,1.0,0.0202815848437417,-0.042081725639283,0.0113925083566062,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_8e92faf24e315f37
robin_molperturbation,20,Zika3PrimeUTR,Zika3PrimeUTR,rna_d8555b5bcad84880,20,74,41,33,0.5540540540540541,True,True,0.8015936114749309,0.8648648648648649,0.3648648648648648,74,0.98917652127273,1.804878048780488,1.0,0.0036231197009768,-0.0090941647806987,0.0101839943729512,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_d8555b5bcad84880
robin_molperturbation,20,Zika_NS5,Zika_NS5,rna_e634b903afc79720,31,52,26,26,0.5,True,True,0.7878511961420637,0.8846153846153846,0.3653846153846153,51,0.961641418450941,2.0,1.0,0.0233235410074875,-0.038358581549059,-0.0262008077608502,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_e634b903afc79720
robin_molperturbation,50,AKTIP,AKTIP,rna_d3c30f76ca934083,19,102,56,46,0.5490196078431373,True,True,0.7958790234053147,0.8725490196078431,0.3823529411764705,100,0.9852122450943188,1.8214285714285712,1.0,0.0069653711571552,-0.0147877549056811,-0.0049517312757128,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_d3c30f76ca934083
robin_molperturbation,50,BCL_XL_SS,BCL_XL_SS,rna_07781cdfaafabdbb,69,72,39,33,0.5416666666666666,True,True,0.802500490959765,0.9305555555555556,0.3472222222222222,72,0.994924561034959,1.8461538461538465,1.0,0.0144462641792157,-0.005075438965041,0.0101140735994049,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_07781cdfaafabdbb
robin_molperturbation,50,EWSR1,EWSR1,rna_2cc280257d743e66,19,113,55,58,0.4867256637168141,True,True,0.7634102144375552,0.8053097345132744,0.415929203539823,108,0.9839475263180106,2.0545454545454547,1.0,0.0805922784214134,-0.0108576684871841,0.0187862366603526,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_2cc280257d743e66
robin_molperturbation,50,HIV_SL3,HIV_SL3,rna_83456da1d3ab4053,18,73,44,29,0.6027397260273972,True,True,0.8137379415458805,0.7534246575342466,0.3150684931506849,72,0.9841082621199508,1.6590909090909092,1.0,0.0395893557805442,-0.0158917378800491,0.0161897356367792,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_83456da1d3ab4053
robin_molperturbation,50,MALAT1,MALAT1,rna_a41b980a3153c45d,59,58,28,30,0.4827586206896552,True,True,0.7847086453440064,0.8448275862068966,0.396551724137931,55,1.0,2.071428571428571,1.0,0.1159887743007394,0.0,0.0202444923257731,0.6904761904761905,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_a41b980a3153c45d
robin_molperturbation,50,PreQ1,PreQ1,rna_bc1e28bfbeb66718,34,82,40,42,0.4878048780487805,True,True,0.7577948072382362,0.8414634146341463,0.3536585365853658,79,0.985708768496866,2.0500000000000003,1.0,0.0313648646353583,-0.014291231503134,0.0013472028331025,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_bc1e28bfbeb66718
robin_molperturbation,50,RRE2B,RRE2B,rna_f7cefbee79dea70d,31,66,35,31,0.5303030303030303,True,True,0.788145174401685,0.8939393939393939,0.3787878787878788,65,0.9855371417180094,1.885714285714286,1.0,0.0269791574834634,-0.0144628582819905,0.0040889315902558,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_f7cefbee79dea70d
robin_molperturbation,50,RRE2B_MeA,RRE2B_MeA,rna_d871af35cfa0984d,29,91,53,38,0.5824175824175825,True,True,0.8087020967055636,0.7692307692307693,0.2857142857142857,89,0.9929213988640806,1.7169811320754715,1.0,0.1009876446309471,-0.0063731965501303,0.0079525454032818,0.3433962264150942,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_d871af35cfa0984d
robin_molperturbation,50,SAM_ll,SAM_ll,rna_73ecb919850b75e8,52,71,38,33,0.5352112676056338,True,True,0.7801330173981369,0.8873239436619719,0.380281690140845,71,0.9782517016985676,1.8684210526315792,1.0,0.0202117016358823,-0.0217482983014324,-0.009467094651645,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_73ecb919850b75e8
robin_molperturbation,50,TPP,TPP,rna_180b1a8aa104ac5a,84,67,25,42,0.373134328358209,True,True,0.7079220691588056,0.9402985074626866,0.5223880597014925,66,0.9907084886128366,2.68,1.0,0.190393691026522,-0.0092915113871634,0.0059719806763285,0.6700000000000004,0.0,0.0,1.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_180b1a8aa104ac5a
robin_molperturbation,50,ZTP,ZTP,rna_8e92faf24e315f37,79,70,34,36,0.4857142857142857,True,True,0.805113306932857,0.8,0.3142857142857143,68,0.957918274360717,2.058823529411765,1.0,0.0202815848437417,-0.042081725639283,0.0113925083566062,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_8e92faf24e315f37
robin_molperturbation,50,Zika3PrimeUTR,Zika3PrimeUTR,rna_d8555b5bcad84880,20,74,41,33,0.5540540540540541,True,True,0.8015936114749309,0.8648648648648649,0.3648648648648648,74,0.98917652127273,1.804878048780488,1.0,0.0036231197009768,-0.0090941647806987,0.0101839943729512,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_d8555b5bcad84880
robin_molperturbation,50,Zika_NS5,Zika_NS5,rna_e634b903afc79720,31,52,26,26,0.5,True,True,0.7878511961420637,0.8846153846153846,0.3653846153846153,51,0.961641418450941,2.0,1.0,0.0233235410074875,-0.038358581549059,-0.0262008077608502,0.0,0.0,0.0,0.0,0.0,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_molperturbation:test:rna_e634b903afc79720
robin_netperturbation,20,AKTIP,AKTIP,rna_dae4452b314f89ac,19,53,36,17,0.6792452830188679,True,True,1.0,0.6415094339622641,0.0,51,0.7937390394278265,0.9814814814814816,1.0,0.0009750767365029,0.1076597859234897,0.0305357540878213,-0.4907407407407407,-0.0288671023965139,-0.4907407407407407,0.0,0.4444444444444444,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_dae4452b314f89ac
robin_netperturbation,20,BCL_XL,BCL_XL,rna_5be77d865ace80e6,23,49,15,34,0.3061224489795918,True,False,1.0,0.3877551020408163,0.0,48,0.7326292217766872,3.2666666666666666,1.0,-0.0801406399405429,0.4201292217766872,-0.006147732686766,0.0,2.2458333333333336,0.0,0.0,2.0625,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_5be77d865ace80e6
robin_netperturbation,20,BCL_XL_SS,BCL_XL_SS,rna_21ad396591a85b9f,69,64,36,28,0.5625,True,True,1.0,0.640625,0.0,59,0.6962530217175513,1.7777777777777777,1.0,0.1072077000894786,0.1248244502889799,0.0180396920507452,0.4444444444444444,0.7619047619047619,0.4444444444444444,1.0,0.7297297297297298,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_21ad396591a85b9f
robin_netperturbation,20,ENE_A9,ENE_A9,rna_ed0bc6bd4e0f14d6,49,47,22,25,0.4680851063829787,True,False,1.0,0.3829787234042553,0.0,46,0.7678084219513222,2.136363636363636,1.0,0.2443120344482242,0.2997233155683435,0.1826659080309144,0.7121212121212117,1.1363636363636358,0.0,0.0,1.0869565217391304,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_ed0bc6bd4e0f14d6
robin_netperturbation,20,EWSR1,EWSR1,rna_2cc280257d743e66,19,91,61,30,0.6703296703296703,True,True,0.9967837041007772,0.6263736263736264,0.0,79,0.8506781082877295,1.4918032786885247,1.0,0.1567914374626551,0.1765835529995842,0.1371661544566281,0.5967213114754099,0.486093203168171,0.2983606557377047,0.0,0.4754098360655741,1.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_2cc280257d743e66
robin_netperturbation,20,FGFR,FGFR,rna_b97010d66094488e,55,50,26,24,0.52,True,True,1.0,0.56,0.0,48,0.7189132087252069,1.923076923076923,1.0,0.0147371290938532,0.2177515132777971,0.0002903762356745,0.0,0.9615384615384612,0.0,0.0,0.96,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_b97010d66094488e
robin_netperturbation,20,Glutamine_RS,Glutamine_RS,rna_143c697f804cc642,61,49,14,35,0.2857142857142857,True,False,1.0,0.3673469387755102,0.0,49,0.6010983410207013,2.333333333333333,2.0,0.1599791250321473,0.3094316743540345,0.0377253986036411,0.0,1.3124999999999991,0.0,0.0,1.2666666666666666,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_143c697f804cc642
robin_netperturbation,20,HBV,HBV,rna_657ad09d94fb7b50,61,42,9,33,0.2142857142857142,True,False,1.0,0.2142857142857142,0.0,41,0.680999066293184,3.111111111111111,1.0,0.3277900054817839,0.4667133520074698,0.45823075805865,1.5555555555555556,2.1111111111111107,3.111111111111111,2.0,3.3,4.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_657ad09d94fb7b50
robin_netperturbation,20,HIV_SL3,HIV_SL3,rna_b1a591cd49e6a6af,18,60,36,24,0.6,True,True,1.0,0.55,0.0,55,0.6766372476165559,0.5555555555555556,2.0,0.088203671806935,0.0832285847163675,-0.003097425275036,0.0,-0.4331450094161958,-1.1111111111111112,1.0,-0.3333333333333332,-1.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_b1a591cd49e6a6af
robin_netperturbation,20,KLF6_mut,KLF6_mut,rna_3e109217e8874ff0,20,39,20,19,0.5128205128205128,True,False,1.0,0.5641025641025641,0.0,38,0.7310167281588809,1.95,1.0,0.000116989782362,0.218196215338368,0.0229131285174053,0.0,0.95,0.0,0.0,0.9047619047619048,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_3e109217e8874ff0
robin_netperturbation,20,KLF6_wt,KLF6_wt,rna_01f292baec64f81f,20,46,19,27,0.4130434782608695,True,False,1.0,0.4782608695652174,0.0,45,0.758167041363224,2.421052631578948,1.0,0.0494835061602167,0.3359448191410017,0.0539474439942866,0.0,1.398830409356726,0.0,0.0,1.2999999999999998,0.0,ROBIN target name matched by exact normalized sequence,No reliable family label available in the paper-facing artifacts,robin_netperturbation:test:rna_01f292baec64f81f
