dataset,dataset_label,threshold,n_pools,probe_row_level_aupr_mean,probe_row_level_aupr_range,full_targetwise_aupr_mean,probe_targetwise_aupr_mean,delta_aupr_mean,delta_aupr_seed_range,delta_ef5_mean,delta_ef5_seed_range,interpretation
robin_molperturbation,Molecule perturbation,20,27,0.9671563848547726,0.963--0.971,0.9684745938277688,0.9597895001891752,0.008685093638593433,0.004--0.015,0.0,0.000--0.000,Early retrieval remains saturated by ligand-only information.
robin_molperturbation,Molecule perturbation,50,13,0.9671563848547726,0.963--0.971,0.9838504852339992,0.9748073711133746,0.009043114120624368,0.006--0.013,0.0,0.000--0.000,Early retrieval remains saturated by ligand-only information.
robin_netperturbation,Network perturbation,20,27,0.5426321596872093,0.533--0.561,0.6686664193684834,0.5373618976426213,0.1313045217258619,0.112--0.143,0.7371047756167615,0.537--0.869,Full RNAsmol clearly exceeds the representation-matched ligand-only probe.
robin_netperturbation,Network perturbation,50,17,0.5426321596872093,0.533--0.561,0.6986191598342701,0.6243254567131395,0.0742937031211305,0.058--0.084,0.30893787750851326,0.230--0.360,Full RNAsmol retains AUPR gain; EF5 gain is positive but smaller.
